"Feature ID","Area","Feature","User Story","Expected Behavior Based On Current Code","Code Evidence","Frontend Evidence","API Evidence","Existing Test Evidence","Implementation Status","Story Test Status","Errors Found","Next Test Action","Last Updated"
"HEALTH-001","Health","Backend liveness health","As an operator, I want to know whether the backend process is alive so that uptime can be monitored.","GET /health/live returns 200 with status ok and service name without requiring authentication.","backend/app/api/health.py","N/A","GET /health/live","backend/tests/api/test_health.py::test_live_health","Implemented","Existing automated test present","None recorded","Include in full story regression loop","2026-06-23"
"HEALTH-002","Health","Backend readiness health","As an operator, I want to know whether the backend and database are ready so that deployments only receive traffic when usable.","GET /health/ready returns 200 when API and database checks are ok.","backend/app/api/health.py; backend/app/db/session.py","N/A","GET /health/ready","backend/tests/api/test_health.py::test_ready_health","Implemented","Existing automated test present","None recorded","Include in full story regression loop","2026-06-23"
"HEALTH-003","Health","Frontend health endpoint","As an operator, I want a frontend health endpoint so that Render can verify the Next.js service.","GET /api/health returns status ok and service restaurant-wishlist-frontend.","frontend/app/api/health/route.ts","frontend/app/health/page.tsx","GET /api/health","frontend/tests/e2e/health.spec.ts::frontend health endpoint returns ok","Implemented","Existing automated test present","None recorded","Include in full story regression loop","2026-06-23"
"APP-001","App Shell","Primary navigation","As an authenticated or unauthenticated visitor, I want stable primary navigation so that I can move between core areas.","Bottom navigation exposes قوائمي, الأماكن, صفحتي with current route active state and RTL layout.","frontend/src/components/AppNav.tsx","frontend/app/layout.tsx","N/A","frontend/tests/e2e/auth-gating.spec.ts::primary navigation is present on the app shell","Implemented","Existing automated test present","None recorded","Verify keyboard and mobile safe-area behavior in story loop","2026-06-23"
"APP-002","App Shell","Home redirect","As a visitor opening the root URL, I want to land on the main lists area.","Root page redirects to /lists.","frontend/app/page.tsx","frontend/app/page.tsx","N/A","frontend/tests/e2e/health.spec.ts::renders the product entry shell","Implemented","Existing automated test present","None recorded","Verify redirect on desktop and mobile","2026-06-23"
"APP-003","PWA","Installable manifest","As a mobile user, I want the app to expose install metadata so that it can be added to my device.","Manifest returns Arabic product name سجل, app icons, dark theme color, standalone display.","frontend/app/manifest.ts","Browser manifest","GET /manifest.webmanifest","frontend/tests/e2e/sprint3-real.spec.ts::technical shell stories expose manifest headers and legacy redirects","Implemented","Existing automated test present","None recorded","Include in full E2E regression loop","2026-06-23"
"AUTH-001","Authentication","Register","As a new user, I want to register with email and password so that I can access the app.","POST /auth/register creates a user, returns an access token, and sets refresh cookie; weak, duplicate, and overlong passwords are rejected.","backend/app/api/auth.py; backend/app/modules/auth/services.py","frontend/app/register/page.tsx","POST /api/v1/auth/register","backend/tests/api/test_auth.py::test_register_login_refresh_and_logout; test_register_rejects_weak_password; test_register_rejects_overlong_password; test_duplicate_email_rejected","Implemented","Existing automated test present","None recorded","Run browser story: register success and validation errors","2026-06-23"
"AUTH-002","Authentication","Login","As a returning user, I want to log in with email and password so that my session is restored.","POST /auth/login validates credentials, returns access token, sets refresh cookie, and rejects bad password.","backend/app/api/auth.py; backend/app/modules/auth/services.py","frontend/app/login/page.tsx","POST /api/v1/auth/login","backend/tests/api/test_auth.py::test_register_login_refresh_and_logout; test_login_rejects_bad_password","Implemented","Existing automated test present","None recorded","Run browser story: login success and invalid credentials","2026-06-23"
"AUTH-003","Authentication","Refresh session","As a signed-in user, I want my session to refresh silently so that reloads do not log me out unnecessarily.","POST /auth/refresh reads HttpOnly refresh cookie, rotates refresh token, and returns a new access token; frontend stores access token in memory only.","backend/app/api/auth.py; backend/app/modules/auth/services.py","frontend/src/lib/api.ts","POST /api/v1/auth/refresh","backend/tests/api/test_auth.py::test_register_login_refresh_and_logout; test_refresh_reuse_revokes_token_family; frontend/tests/e2e/sprint3-real.spec.ts","Implemented","Existing automated test present","Closed logistical issue: Playwright frontend/API hosts differed and blocked refresh-cookie proof until config was unified on localhost.","Retest localStorage token storage explicitly in full loop","2026-06-23"
"AUTH-004","Authentication","Logout","As a signed-in user, I want to log out so that my local and server refresh session are cleared.","POST /auth/logout revokes refresh cookie token and frontend clears in-memory token even if network call fails.","backend/app/api/auth.py; backend/app/modules/auth/services.py","frontend/src/lib/api.ts","POST /api/v1/auth/logout","backend/tests/api/test_auth.py::test_register_login_refresh_and_logout; test_logout_rejects_invalid_refresh_token","Implemented","Existing automated test present","None recorded","Run browser logout story","2026-06-23"
